label,station,serial_no
1,BAE,0
1,BAE,1
1,BAE,2
1,BAE,3
1,BAE,4
1,BAE,5
1,BAE,6
1,BAE,7
1,BAE,8
1,BAE,9
1,BAE,10
1,BAE,11
1,BAE,12
1,BAE,13
1,BAE,14
1,BAE,15
1,BAE,16
1,BAE,17
1,BAE,18
1,BAE,19
1,BAE,20
1,BAE,21
1,BAE,22
1,BAE,23
1,BAE,24
1,BAE,25
1,BAE,26
1,BAE,27
1,BAE,28
1,BAE,29
1,BAE,30
1,BAE,31
1,BAE,32
1,BAE,33
1,BAE,34
1,BAE,35
1,BAE,36
1,BAE,37
1,BAE,38
1,BAE,39
1,BAE,40
1,BAE,41
1,BAE,42
1,BAE,43
1,BAE,44
1,BAE,45
1,BAE,46
1,BAE,47
1,BAE,48
1,BAE,49
1,BAE,50
1,BAE,51
1,BAE,52
1,BAE,53
1,BAE,54
1,BAE,55
1,BAE,56
1,BAE,57
1,BAE,58
1,BAE,59
1,BAE,60
1,BAE,61
1,BAE,62
1,BAE,63
1,BAE,64
1,BAE,65
1,BAE,66
1,BAE,67
1,BAE,68
1,BAE,69
1,BAE,70
1,BAE,71
1,BAE,72
1,BAE,73
1,BAE,74
1,BAE,75
1,BAE,76
1,BAE,77
1,BAE,78
1,BAE,79
1,BAE,80
1,BAE,81
1,BAE,82
1,BAE,83
1,BAE,84
1,BAE,85
1,BAE,86
1,BAE,87
1,BAE,88
1,BAE,89
1,BAE,90
1,BAE,91
1,BAE,92
1,BAE,93
1,BAE,94
1,BAE,95
1,BAE,96
1,BAE,97
1,BAE,98
1,BAE,99
1,BAE,100
1,BAE,101
1,BAE,102
1,BAE,103
1,BAE,104
1,BAE,105
1,BAE,106
1,BAE,107
1,BAE,108
1,BAE,109
1,BAE,110
1,BAE,111
1,BAE,112
1,BAE,113
1,BAE,114
1,BAE,115
1,BAE,116
1,BAE,117
1,BAE,118
1,BAE,119
1,BAE,120
1,BAE,121
1,BAE,122
1,BAE,123
1,BAE,124
1,BAE,125
1,BAE,126
1,BAE,127
1,BAE,128
1,BAE,129
1,BAE,130
1,BAE,131
1,BAE,132
1,BAE,133
1,BAE,134
1,BAE,135
1,BAE,136
1,BAE,137
1,BAE,138
1,BAE,139
1,BAE,140
1,BAE,141
1,BAE,142
1,BAE,143
1,BAE,144
1,BAE,145
1,BAE,146
1,BAE,147
1,BAE,148
1,BAE,149
1,BAE,150
1,BAE,151
1,BAE,152
1,BAE,153
1,BAE,154
1,BAE,155
1,BAE,156
1,BAE,157
1,BAE,158
1,BAE,159
1,BAE,160
1,BAE,161
1,BAE,162
1,BAE,163
1,BAE,164
1,BAE,165
1,BAE,166
1,BAE,167
1,BAE,168
1,BAE,169
1,BAE,170
1,BAE,171
1,BAE,172
1,BAE,173
1,BAE,174
1,BAE,175
1,BAE,176
1,BAE,177
1,BAE,178
1,BAE,179
1,BAE,180
1,BAE,181
1,BAE,182
1,BAE,183
1,BAE,184
1,BAE,185
1,BAE,186
1,BAE,187
1,BAE,188
1,BAE,189
1,BAE,190
1,BAE,191
1,BAE,192
1,BAE,193
1,BAE,194
1,BAE,195
1,BAE,196
1,BAE,197
1,BAE,198
1,BAE,199
1,BAE,200
1,BAE,201
1,BAE,202
1,BAE,203
1,BAE,204
1,BAE,205
1,BAE,206
1,BAE,207
1,BAE,208
1,BAE,209
1,BAE,210
1,BAE,211
1,BAE,212
1,BAE,213
1,BAE,214
1,BAE,215
1,BAE,216
1,BAE,217
1,BAE,218
1,BAE,219
1,BAE,220
1,BAE,221
1,BAE,222
1,BAE,223
1,BAE,224
1,BAE,225
1,BAE,226
1,BAE,227
1,BAE,228
1,BAE,229
1,BAE,230
1,BAE,231
1,BAE,232
1,BAE,233
1,BAE,234
1,BAE,235
1,BAE,236
1,BAE,237
0,BAE,238
0,BAE,239
0,BAE,240
0,BAE,241
0,BAE,242
0,BAE,243
0,BAE,244
0,BAE,245
0,BAE,246
0,BAE,247
0,BAE,248
