station,class,label,feature_table_target,eligible_source_waveforms,selected_waveforms,eligible_not_selected
BAE,earthquake,0,525,525,525,0
BAE,icequake,1,238,238,238,0
BAT,earthquake,0,400,419,400,19
BAT,icequake,1,155,160,155,5
FID,earthquake,0,1484,1484,1484,0
FID,icequake,1,1851,1851,1851,0
GLI,earthquake,0,2047,2048,2047,1
GLI,icequake,1,2151,2151,2151,0
KLU,earthquake,0,2130,2131,2130,1
KLU,icequake,1,2121,2121,2121,0
KNK,earthquake,0,2100,2101,2100,1
KNK,icequake,1,2365,2365,2365,0
M23K,earthquake,0,1006,1056,1006,50
M23K,icequake,1,471,490,471,19
SAW,earthquake,0,2019,2020,2019,1
SAW,icequake,1,2496,2497,2496,1
SCM,earthquake,0,2038,2039,2038,1
SCM,icequake,1,2425,2425,2425,0
