station,outer_fold,n_train,n_test,accuracy,balanced_accuracy,sensitivity_label_1,specificity_label_0,precision_label_1,f1_label_1,tn,fp,fn,tp,inner_best_accuracy,best_C,best_gamma,best_kernel,runtime_seconds
BAE,1,686,77,0.922077922077922,0.9205974842767296,0.9166666666666666,0.9245283018867924,0.8461538461538461,0.88,49,4,2,22,0.943158567774936,100,0.01,rbf,3.0559846709984413
BAE,2,686,77,0.974025974025974,0.981132075471698,1.0,0.9622641509433962,0.9230769230769232,0.96,51,2,0,24,0.9403452685421996,100,scale,rbf,3.319571228999848
BAE,3,686,77,0.9090909090909092,0.8997641509433962,0.875,0.9245283018867924,0.84,0.8571428571428571,49,4,3,21,0.9401747655583972,100,0.01,rbf,3.6445290580013534
BAE,4,687,76,0.9210526315789472,0.9310897435897436,0.9583333333333334,0.903846153846154,0.8214285714285714,0.8846153846153846,47,5,1,23,0.944693094629156,1000,0.01,rbf,4.908411645001252
BAE,5,687,76,0.986842105263158,0.9791666666666669,0.9583333333333334,1.0,1.0,0.9787234042553192,52,0,1,23,0.9331202046035806,100,0.01,rbf,4.339254268999866
BAE,6,687,76,0.9210526315789472,0.9423076923076924,1.0,0.8846153846153846,0.8,0.8888888888888888,46,6,0,24,0.9388959931798804,10,scale,rbf,3.148522305998995
BAE,7,687,76,0.881578947368421,0.8798076923076923,0.875,0.8846153846153846,0.7777777777777778,0.8235294117647058,46,6,3,21,0.944693094629156,100,0.01,rbf,2.892416721999325
BAE,8,687,76,0.9473684210526316,0.9503205128205128,0.9583333333333334,0.9423076923076924,0.8846153846153846,0.92,49,3,1,23,0.9475490196078432,100,scale,rbf,2.717520277001313
BAE,9,687,76,0.9342105263157896,0.928219852337982,0.9130434782608696,0.9433962264150944,0.875,0.8936170212765957,50,3,2,21,0.9447783461210572,1000,0.01,rbf,2.588052458000675
BAE,10,687,76,0.9210526315789472,0.9310910582444628,0.9565217391304348,0.9056603773584906,0.8148148148148148,0.88,48,5,1,22,0.941773231031543,100,scale,rbf,2.679847200999575
BAT,1,499,56,0.9107142857142856,0.9,0.875,0.925,0.8235294117647058,0.8484848484848485,37,3,2,14,0.919795918367347,100,0.001,rbf,2.480749846001345
BAT,2,499,56,0.9107142857142856,0.9,0.875,0.925,0.8235294117647058,0.8484848484848485,37,3,2,14,0.9219183673469388,100,0.001,rbf,2.3719912380001915
BAT,3,499,56,0.8214285714285714,0.81875,0.8125,0.825,0.65,0.7222222222222222,33,7,3,13,0.9257959183673468,100,0.001,rbf,2.33971401800045
BAT,4,499,56,0.9285714285714286,0.93125,0.9375,0.925,0.8333333333333334,0.8823529411764706,37,3,1,15,0.9117551020408164,100,0.01,rbf,2.407684067000446
BAT,5,499,56,0.875,0.89375,0.9375,0.85,0.7142857142857143,0.8108108108108109,34,6,1,15,0.9197142857142856,100,0.001,rbf,2.7747575100001995
BAT,6,500,55,0.9090909090909092,0.9166666666666669,0.9333333333333332,0.9,0.7777777777777778,0.8484848484848485,36,4,1,14,0.916,1000,0.001,rbf,2.4929153329994733
BAT,7,500,55,0.9272727272727272,0.9083333333333332,0.8666666666666667,0.95,0.8666666666666667,0.8666666666666667,38,2,2,13,0.918,100,0.001,rbf,2.414797274999728
BAT,8,500,55,0.9272727272727272,0.9291666666666668,0.9333333333333332,0.925,0.8235294117647058,0.875,37,3,1,14,0.918,100,0.01,rbf,2.687950337000075
BAT,9,500,55,0.9636363636363636,0.975,1.0,0.95,0.8823529411764706,0.9375,38,2,0,15,0.902,100,0.001,rbf,2.5153896829997398
BAT,10,500,55,0.9454545454545454,0.9416666666666668,0.9333333333333332,0.95,0.875,0.9032258064516128,38,2,1,14,0.916,100,0.001,rbf,2.697313654998652
