station,outer_fold,C,gamma,kernel,mean_inner_accuracy,std_inner_accuracy,rank_inner_accuracy,mean_fit_time_seconds
BAE,1,10,scale,rbf,0.9344416027280478,0.0299435170751918,4,0.0199001550674438
BAE,1,10,0.01,rbf,0.9329710144927535,0.0346271225177524,6,0.0251125574111938
BAE,1,10,0.001,rbf,0.8951406649616368,0.0384458472587445,9,0.0232650279998779
BAE,1,100,scale,rbf,0.9373614663256606,0.031851651919357,2,0.0248268604278564
BAE,1,100,0.01,rbf,0.943158567774936,0.0335080186396258,1,0.0207941770553588
BAE,1,100,0.001,rbf,0.9228047740835464,0.0343906568247283,7,0.0195223093032836
BAE,1,1000,scale,rbf,0.8979965899403239,0.0343580699732338,8,0.035854148864746
BAE,1,1000,0.01,rbf,0.9373188405797102,0.0318654821521271,3,0.0388561487197876
BAE,1,1000,0.001,rbf,0.9343989769820972,0.0328476664467584,5,0.0238737821578979
BAE,2,10,scale,rbf,0.9359761295822676,0.0282843907318098,2,0.0205414772033691
BAE,2,10,0.01,rbf,0.9257459505541348,0.0299432136767269,6,0.0203155040740966
BAE,2,10,0.001,rbf,0.8966751918158569,0.0383695410076268,9,0.024622893333435
BAE,2,100,scale,rbf,0.9403452685421996,0.0368209042042115,1,0.0241824388504028
BAE,2,100,0.01,rbf,0.927237851662404,0.0323334195467594,5,0.0211081743240356
BAE,2,100,0.001,rbf,0.9184782608695652,0.0282932302100369,7,0.023801565170288
BAE,2,1000,scale,rbf,0.914151747655584,0.0267986474880671,8,0.0484148502349853
BAE,2,1000,0.01,rbf,0.9301790281329924,0.0341070166591107,3,0.0438765048980712
BAE,2,1000,0.001,rbf,0.9286871270247228,0.0261659591941522,4,0.02494637966156
BAE,3,10,scale,rbf,0.9372549019607842,0.0270210248625511,3,0.0219745397567749
BAE,3,10,0.01,rbf,0.9299872122762148,0.019493823665027,6,0.0207111358642578
BAE,3,10,0.001,rbf,0.8951193520886616,0.0315194910393266,9,0.0270020961761474
BAE,3,100,scale,rbf,0.9387254901960784,0.0325793249873145,2,0.0346141338348388
BAE,3,100,0.01,rbf,0.9401747655583972,0.0248314727232425,1,0.0290683507919311
BAE,3,100,0.001,rbf,0.9241474850809888,0.0206830314314782,7,0.0265676259994506
