station,outer_fold,n_train,n_test,accuracy,balanced_accuracy,sensitivity_label_1,specificity_label_0,precision_label_1,f1_label_1,tn,fp,fn,tp,inner_best_accuracy,best_C,best_gamma,best_kernel,runtime_seconds
BAE,1,686,77,0.922077922077922,0.9205974842767295,0.9166666666666666,0.9245283018867925,0.8461538461538461,0.88,49,4,2,22,0.9431585677749361,100,0.01,rbf,3.0559846709984413
BAE,2,686,77,0.974025974025974,0.9811320754716981,1.0,0.9622641509433962,0.9230769230769231,0.96,51,2,0,24,0.9403452685421995,100,scale,rbf,3.3195712289998482
BAE,3,686,77,0.9090909090909091,0.8997641509433962,0.875,0.9245283018867925,0.84,0.8571428571428571,49,4,3,21,0.9401747655583972,100,0.01,rbf,3.6445290580013534
BAE,4,687,76,0.9210526315789473,0.9310897435897436,0.9583333333333334,0.9038461538461539,0.8214285714285714,0.8846153846153846,47,5,1,23,0.9446930946291561,1000,0.01,rbf,4.908411645001252
BAE,5,687,76,0.9868421052631579,0.9791666666666667,0.9583333333333334,1.0,1.0,0.9787234042553191,52,0,1,23,0.9331202046035806,100,0.01,rbf,4.339254268999866
BAE,6,687,76,0.9210526315789473,0.9423076923076923,1.0,0.8846153846153846,0.8,0.8888888888888888,46,6,0,24,0.9388959931798805,10,scale,rbf,3.148522305998995
BAE,7,687,76,0.881578947368421,0.8798076923076923,0.875,0.8846153846153846,0.7777777777777778,0.8235294117647058,46,6,3,21,0.9446930946291561,100,0.01,rbf,2.892416721999325
BAE,8,687,76,0.9473684210526315,0.9503205128205128,0.9583333333333334,0.9423076923076923,0.8846153846153846,0.92,49,3,1,23,0.9475490196078432,100,scale,rbf,2.717520277001313
BAE,9,687,76,0.9342105263157895,0.9282198523379819,0.9130434782608695,0.9433962264150944,0.875,0.8936170212765957,50,3,2,21,0.9447783461210572,1000,0.01,rbf,2.588052458000675
BAE,10,687,76,0.9210526315789473,0.9310910582444627,0.9565217391304348,0.9056603773584906,0.8148148148148148,0.88,48,5,1,22,0.941773231031543,100,scale,rbf,2.679847200999575
