station,outer_fold,C,gamma,kernel,mean_inner_accuracy,std_inner_accuracy,rank_inner_accuracy,mean_fit_time_seconds
BAT,1,10,scale,rbf,0.911795918367347,0.04495856762619056,3,0.012915778160095214
BAT,1,10,0.01,rbf,0.9077142857142858,0.04340694950472934,5,0.013582110404968262
BAT,1,10,0.001,rbf,0.8736734693877551,0.03615471866574611,9,0.01700160503387451
BAT,1,100,scale,rbf,0.9018367346938776,0.03728756292681571,6,0.024194097518920897
BAT,1,100,0.01,rbf,0.915795918367347,0.03887036732602323,2,0.016291284561157228
BAT,1,100,0.001,rbf,0.919795918367347,0.034764034707168254,1,0.01506803035736084
BAT,1,1000,scale,rbf,0.887795918367347,0.03363743278895409,8,0.03676137924194336
BAT,1,1000,0.01,rbf,0.8977959183673467,0.044221697358700116,7,0.03550870418548584
BAT,1,1000,0.001,rbf,0.9117551020408163,0.04595882118246143,4,0.018245220184326172
BAT,2,10,scale,rbf,0.9178775510204081,0.02882268531333238,3,0.017405891418457033
BAT,2,10,0.01,rbf,0.9178775510204081,0.02739976621563378,3,0.015043067932128906
BAT,2,10,0.001,rbf,0.8896734693877552,0.046191045251120756,8,0.018109989166259766
BAT,2,100,scale,rbf,0.9198367346938776,0.028288511803232927,2,0.01809093952178955
BAT,2,100,0.01,rbf,0.9178775510204081,0.031476136813010994,3,0.01464829444885254
BAT,2,100,0.001,rbf,0.9219183673469388,0.03833869968292819,1,0.014025306701660157
BAT,2,1000,scale,rbf,0.8717551020408163,0.0499261595533521,9,0.026413369178771972
BAT,2,1000,0.01,rbf,0.907795918367347,0.02407571701813936,7,0.03008098602294922
BAT,2,1000,0.001,rbf,0.9098367346938776,0.032511145687582274,6,0.018384099006652832
BAT,3,10,scale,rbf,0.9158367346938776,0.014930967068233358,4,0.013203835487365723
BAT,3,10,0.01,rbf,0.9158367346938775,0.027980953836362857,5,0.01613173484802246
BAT,3,10,0.001,rbf,0.8917551020408162,0.045852124553984616,8,0.019579982757568358
BAT,3,100,scale,rbf,0.9057142857142857,0.03835388387325675,7,0.01935422420501709
BAT,3,100,0.01,rbf,0.9198367346938776,0.02366938740317646,2,0.01407468318939209
BAT,3,100,0.001,rbf,0.9257959183673469,0.023978888396108674,1,0.014109921455383301
BAT,3,1000,scale,rbf,0.8777142857142858,0.04250906265919381,9,0.026439571380615236
BAT,3,1000,0.01,rbf,0.9158775510204082,0.023200374840786925,3,0.029579710960388184
BAT,3,1000,0.001,rbf,0.9158367346938775,0.024958641341080032,5,0.016295409202575682
BAT,4,10,scale,rbf,0.8977551020408162,0.01433025127568682,6,0.014439773559570313
BAT,4,10,0.01,rbf,0.9097551020408161,0.033988728317557435,3,0.013535785675048827
BAT,4,10,0.001,rbf,0.8717551020408163,0.06076694337998889,9,0.015709829330444337
BAT,4,100,scale,rbf,0.8837551020408163,0.03776902115182734,7,0.018484783172607423
BAT,4,100,0.01,rbf,0.9117551020408163,0.02884810642800434,1,0.013837695121765137
BAT,4,100,0.001,rbf,0.9117551020408163,0.0327446674205353,1,0.015275192260742188
BAT,4,1000,scale,rbf,0.8757551020408163,0.04881168498853774,8,0.035167360305786134
BAT,4,1000,0.01,rbf,0.8998367346938776,0.030882183986835364,5,0.03224315643310547
BAT,4,1000,0.001,rbf,0.9037551020408163,0.01990715643015163,4,0.016867995262145996
BAT,5,10,scale,rbf,0.9137142857142857,0.0339939970691105,3,0.015683412551879883
BAT,5,10,0.01,rbf,0.9136326530612244,0.04282844520234939,4,0.013835382461547852
BAT,5,10,0.001,rbf,0.883673469387755,0.037063382118259894,9,0.01782855987548828
BAT,5,100,scale,rbf,0.905795918367347,0.031093790753250295,6,0.02449822425842285
BAT,5,100,0.01,rbf,0.9076734693877551,0.033186861307329174,5,0.018075013160705568
BAT,5,100,0.001,rbf,0.9197142857142857,0.03943374707231441,1,0.017502379417419434
BAT,5,1000,scale,rbf,0.8897551020408162,0.03722146872810616,8,0.04615850448608398
BAT,5,1000,0.01,rbf,0.9037142857142857,0.0391136491652263,7,0.03627102375030518
BAT,5,1000,0.001,rbf,0.9176734693877551,0.04108404040107058,2,0.018062329292297362
BAT,6,10,scale,rbf,0.9099999999999999,0.046690470119715013,4,0.018962693214416505
BAT,6,10,0.01,rbf,0.9039999999999999,0.03072458299147442,6,0.018947577476501463
BAT,6,10,0.001,rbf,0.8800000000000001,0.046475800154488996,9,0.0179349422454834
BAT,6,100,scale,rbf,0.9039999999999999,0.03979949748426479,6,0.022104263305664062
BAT,6,100,0.01,rbf,0.9119999999999999,0.03249615361854383,3,0.016007113456726074
BAT,6,100,0.001,rbf,0.914,0.042941821107167766,2,0.014916062355041504
BAT,6,1000,scale,rbf,0.898,0.038418745424597084,8,0.028948521614074706
BAT,6,1000,0.01,rbf,0.9040000000000001,0.03773592452822642,5,0.028968071937561034
BAT,6,1000,0.001,rbf,0.916,0.02799999999999999,1,0.014655685424804688
BAT,7,10,scale,rbf,0.906,0.03469870314579494,4,0.012409830093383789
BAT,7,10,0.01,rbf,0.9120000000000001,0.03487119154832539,2,0.01511528491973877
BAT,7,10,0.001,rbf,0.8699999999999999,0.05079370039680117,9,0.01925642490386963
BAT,7,100,scale,rbf,0.8939999999999999,0.04103656905736638,7,0.020452380180358887
BAT,7,100,0.01,rbf,0.9,0.026832815729997475,6,0.015106892585754395
BAT,7,100,0.001,rbf,0.9179999999999999,0.04331281565541543,1,0.015691280364990234
BAT,7,1000,scale,rbf,0.89,0.04024922359499623,8,0.031359100341796876
BAT,7,1000,0.01,rbf,0.9039999999999999,0.021540659228538015,5,0.031197571754455568
BAT,7,1000,0.001,rbf,0.9099999999999999,0.0286356421265527,3,0.018056201934814452
BAT,8,10,scale,rbf,0.916,0.0195959179422654,2,0.014815950393676757
BAT,8,10,0.01,rbf,0.908,0.027129319932501058,6,0.016298604011535645
BAT,8,10,0.001,rbf,0.8859999999999999,0.04004996878900158,8,0.02075028419494629
BAT,8,100,scale,rbf,0.906,0.026907248094147424,7,0.02390398979187012
BAT,8,100,0.01,rbf,0.9179999999999999,0.028913664589601904,1,0.022972726821899415
BAT,8,100,0.001,rbf,0.9119999999999999,0.03124099870362661,3,0.019089531898498536
BAT,8,1000,scale,rbf,0.882,0.030265491900843117,9,0.03659577369689941
BAT,8,1000,0.01,rbf,0.9099999999999999,0.024083189157584572,4,0.03352093696594238
BAT,8,1000,0.001,rbf,0.9099999999999999,0.032557641192199394,4,0.015201115608215332
BAT,9,10,scale,rbf,0.8960000000000001,0.021540659228538032,5,0.013983511924743652
BAT,9,10,0.01,rbf,0.9,0.021908902300206645,2,0.015715384483337404
BAT,9,10,0.001,rbf,0.868,0.044,9,0.02034440040588379
BAT,9,100,scale,rbf,0.8939999999999999,0.033526109228480434,6,0.019779133796691894
BAT,9,100,0.01,rbf,0.898,0.014000000000000012,3,0.015978908538818358
BAT,9,100,0.001,rbf,0.9019999999999999,0.027495454169735034,1,0.015423583984375
BAT,9,1000,scale,rbf,0.8880000000000001,0.039191835884530866,8,0.038373804092407225
BAT,9,1000,0.01,rbf,0.892,0.016000000000000014,7,0.032340407371520996
BAT,9,1000,0.001,rbf,0.898,0.020880613017821095,3,0.015951156616210938
BAT,10,10,scale,rbf,0.898,0.03515679166249389,5,0.020622968673706055
BAT,10,10,0.01,rbf,0.9099999999999999,0.04837354648979127,3,0.014536547660827636
BAT,10,10,0.001,rbf,0.8880000000000001,0.049152822909778036,8,0.015975642204284667
BAT,10,100,scale,rbf,0.9100000000000001,0.05813776741499453,2,0.022183799743652345
BAT,10,100,0.01,rbf,0.898,0.043312815655415414,5,0.01822962760925293
BAT,10,100,0.001,rbf,0.916,0.04270831300812524,1,0.012720727920532226
BAT,10,1000,scale,rbf,0.89,0.040249223594996233,7,0.03574826717376709
BAT,10,1000,0.01,rbf,0.882,0.05758472019555185,9,0.04268999099731445
BAT,10,1000,0.001,rbf,0.9099999999999999,0.033763886032268264,3,0.015620756149291991
