station,outer_fold,n_train,n_test,accuracy,balanced_accuracy,sensitivity_label_1,specificity_label_0,precision_label_1,f1_label_1,tn,fp,fn,tp,inner_best_accuracy,best_C,best_gamma,best_kernel,runtime_seconds
BAT,1,499,56,0.9107142857142857,0.9,0.875,0.925,0.8235294117647058,0.8484848484848485,37,3,2,14,0.919795918367347,100,0.001,rbf,2.480749846001345
BAT,2,499,56,0.9107142857142857,0.9,0.875,0.925,0.8235294117647058,0.8484848484848485,37,3,2,14,0.9219183673469388,100,0.001,rbf,2.3719912380001915
BAT,3,499,56,0.8214285714285714,0.81875,0.8125,0.825,0.65,0.7222222222222222,33,7,3,13,0.9257959183673469,100,0.001,rbf,2.33971401800045
BAT,4,499,56,0.9285714285714286,0.93125,0.9375,0.925,0.8333333333333334,0.8823529411764706,37,3,1,15,0.9117551020408163,100,0.01,rbf,2.407684067000446
BAT,5,499,56,0.875,0.89375,0.9375,0.85,0.7142857142857143,0.8108108108108109,34,6,1,15,0.9197142857142857,100,0.001,rbf,2.7747575100001995
BAT,6,500,55,0.9090909090909091,0.9166666666666667,0.9333333333333333,0.9,0.7777777777777778,0.8484848484848485,36,4,1,14,0.916,1000,0.001,rbf,2.4929153329994733
BAT,7,500,55,0.9272727272727272,0.9083333333333333,0.8666666666666667,0.95,0.8666666666666667,0.8666666666666667,38,2,2,13,0.9179999999999999,100,0.001,rbf,2.414797274999728
BAT,8,500,55,0.9272727272727272,0.9291666666666667,0.9333333333333333,0.925,0.8235294117647058,0.875,37,3,1,14,0.9179999999999999,100,0.01,rbf,2.687950337000075
BAT,9,500,55,0.9636363636363636,0.975,1.0,0.95,0.8823529411764706,0.9375,38,2,0,15,0.9019999999999999,100,0.001,rbf,2.5153896829997393
BAT,10,500,55,0.9454545454545454,0.9416666666666667,0.9333333333333333,0.95,0.875,0.9032258064516129,38,2,1,14,0.916,100,0.001,rbf,2.697313654998652
