station,outer_fold,C,gamma,kernel,mean_inner_accuracy,std_inner_accuracy,rank_inner_accuracy,mean_fit_time_seconds
FID,1,10,scale,rbf,0.9606777408637874,0.012459739371958658,5,0.30234661102294924
FID,1,10,0.01,rbf,0.9626799557032115,0.013643787478082498,3,0.4153666257858276
FID,1,10,0.001,rbf,0.9460221483942414,0.014263355927277104,9,0.5139191389083863
FID,1,100,scale,rbf,0.9596810631229238,0.012056530638142866,6,0.3075320959091187
FID,1,100,0.01,rbf,0.9643444075304541,0.0158516562399442,1,0.3004652738571167
FID,1,100,0.001,rbf,0.956016611295681,0.012175696789612061,7,0.3458136796951294
FID,1,1000,scale,rbf,0.956015503875969,0.009038653316219584,8,0.9151739597320556
FID,1,1000,0.01,rbf,0.9640099667774088,0.01428707441566574,2,0.5812958478927612
FID,1,1000,0.001,rbf,0.9610155038759691,0.015343764332783732,4,0.410140323638916
FID,2,10,scale,rbf,0.960014396456257,0.01357756728545187,4,0.23796432018280028
FID,2,10,0.01,rbf,0.9586788482834994,0.011180515171736342,7,0.26205899715423586
FID,2,10,0.001,rbf,0.945014396456257,0.012596472362037314,9,0.44304428100585935
FID,2,100,scale,rbf,0.9586832779623476,0.01220851701168053,6,0.3533874273300171
FID,2,100,0.01,rbf,0.9626810631229237,0.011127852795867307,1,0.18380296230316162
FID,2,100,0.001,rbf,0.9543455149501663,0.012215588591184968,8,0.25289943218231203
FID,2,1000,scale,rbf,0.9596788482834995,0.012337008490472196,5,1.0145238637924194
FID,2,1000,0.01,rbf,0.9603466223698781,0.008875275083427666,3,0.4735298156738281
FID,2,1000,0.001,rbf,0.9606788482834994,0.010835111327648616,2,0.39283874034881594
FID,3,10,scale,rbf,0.9606810631229237,0.010408224541965065,6,0.2779755830764771
FID,3,10,0.01,rbf,0.9610121816168327,0.01183931138970628,5,0.3935376167297363
FID,3,10,0.001,rbf,0.946688815060908,0.012086374881764013,9,0.48102169036865233
FID,3,100,scale,rbf,0.9613488372093023,0.010120314618760324,4,0.344312047958374
FID,3,100,0.01,rbf,0.9620132890365449,0.011659692673490625,2,0.24423003196716309
FID,3,100,0.001,rbf,0.9556810631229237,0.012298490982893432,8,0.1853921890258789
FID,3,1000,scale,rbf,0.9603499446290144,0.011381918651723222,7,0.834995436668396
FID,3,1000,0.01,rbf,0.96334772978959,0.008933639379977359,1,0.4833529472351074
FID,3,1000,0.001,rbf,0.9616788482834995,0.011476437059567203,3,0.3010298013687134
FID,4,10,scale,rbf,0.9623455149501663,0.0112607049751577,3,0.2885809183120728
FID,4,10,0.01,rbf,0.9606788482834995,0.00916876786428832,4,0.24853854179382323
FID,4,10,0.001,rbf,0.9466821705426357,0.009079157664673852,9,0.4864529609680176
FID,4,100,scale,rbf,0.958014396456257,0.011755241256298336,6,0.23705151081085205
FID,4,100,0.01,rbf,0.9623466223698781,0.011645009255007973,2,0.22369880676269532
FID,4,100,0.001,rbf,0.9563455149501661,0.009721379094299877,7,0.2568462371826172
FID,4,1000,scale,rbf,0.9560121816168328,0.011341271696070498,8,0.8012481451034545
FID,4,1000,0.01,rbf,0.9630121816168327,0.012601080683090805,1,0.44118466377258303
FID,4,1000,0.001,rbf,0.960345514950166,0.00795591901978125,5,0.24077625274658204
FID,5,10,scale,rbf,0.9653466223698782,0.008046659465403934,1,0.2595899343490601
FID,5,10,0.01,rbf,0.9643477297895903,0.007295585247491329,3,0.25532753467559816
FID,5,10,0.001,rbf,0.9473510520487265,0.01062393945346582,9,0.3269902467727661
FID,5,100,scale,rbf,0.9620143964562569,0.009083775084631263,5,0.25166969299316405
FID,5,100,0.01,rbf,0.9646821705426356,0.008170792694348025,2,0.15281994342803956
FID,5,100,0.001,rbf,0.9563477297895903,0.008360643028378157,8,0.22413575649261475
FID,5,1000,scale,rbf,0.9570121816168328,0.011007072090523422,7,0.604400897026062
FID,5,1000,0.01,rbf,0.9640143964562569,0.009627024783668238,4,0.33265182971954343
FID,5,1000,0.001,rbf,0.9613477297895902,0.009206323222948407,6,0.3043102264404297
FID,6,10,scale,rbf,0.9586954595791806,0.004976172454556305,5,0.1729529619216919
FID,6,10,0.01,rbf,0.9603565891472868,0.00796478214078518,4,0.27407164573669435
FID,6,10,0.001,rbf,0.9460310077519379,0.0124727598147158,9,0.6391239404678345
FID,6,100,scale,rbf,0.958359911406423,0.007783830061995683,6,0.47461297512054446
FID,6,100,0.01,rbf,0.9623599114064231,0.005771351483316241,2,0.3276915788650513
FID,6,100,0.001,rbf,0.9553599114064231,0.0086039912464599,8,0.36542017459869386
FID,6,1000,scale,rbf,0.9560254706533776,0.008933848586857899,7,0.9437560319900513
FID,6,1000,0.01,rbf,0.9646910299003324,0.005805208209418141,1,0.4835906982421875
FID,6,1000,0.001,rbf,0.9623588039867108,0.005780085926944349,3,0.34531102180480955
FID,7,10,scale,rbf,0.9600276854928017,0.01191437892221009,4,0.14356038570404053
FID,7,10,0.01,rbf,0.9613621262458472,0.011729802972962637,3,0.16987061500549316
FID,7,10,0.001,rbf,0.9457076411960132,0.01339495185944606,9,0.29711198806762695
FID,7,100,scale,rbf,0.9570343300110743,0.013248369669660712,6,0.1951524496078491
FID,7,100,0.01,rbf,0.963361018826135,0.011994671684688773,1,0.16336946487426757
FID,7,100,0.001,rbf,0.9553654485049835,0.011639162669162833,7,0.21039280891418458
FID,7,1000,scale,rbf,0.9510354374307862,0.012714664976489733,8,0.6219878196716309
FID,7,1000,0.01,rbf,0.9616943521594683,0.013665365402259043,2,0.3032353162765503
FID,7,1000,0.001,rbf,0.9586965669988926,0.012463482245807305,5,0.21670594215393066
FID,8,10,scale,rbf,0.962358803986711,0.012556948074440445,1,0.15791802406311034
FID,8,10,0.01,rbf,0.9600243632336657,0.013586555825603497,5,0.18808979988098146
FID,8,10,0.001,rbf,0.9470365448504982,0.010993428829771468,9,0.28080728054046633
FID,8,100,scale,rbf,0.9593621262458469,0.007846564052537777,6,0.19451539516448973
FID,8,100,0.01,rbf,0.9613610188261351,0.012919554818027345,3,0.18545856475830078
FID,8,100,0.001,rbf,0.9563610188261352,0.011203797791702807,7,0.27933928966522215
FID,8,1000,scale,rbf,0.9523687707641196,0.01209332490222891,8,0.7084874391555787
FID,8,1000,0.01,rbf,0.9613621262458472,0.01011643636214906,2,0.3891528844833374
FID,8,1000,0.001,rbf,0.9603588039867109,0.0138617625310006,4,0.18935861587524414
FID,9,10,scale,rbf,0.9653521594684384,0.014928944414585513,3,0.1353463888168335
FID,9,10,0.01,rbf,0.9636832779623477,0.017360125033407246,5,0.1536579132080078
FID,9,10,0.001,rbf,0.9516899224806201,0.0164335960017151,9,0.27289528846740724
FID,9,100,scale,rbf,0.9623576965669989,0.01505888157332267,6,0.17385561466217042
FID,9,100,0.01,rbf,0.9660199335548174,0.012898964301337967,1,0.13458259105682374
FID,9,100,0.001,rbf,0.9600199335548172,0.015431107348022147,8,0.17029109001159667
FID,9,1000,scale,rbf,0.9613554817275747,0.011764415399495935,7,0.5125709533691406
FID,9,1000,0.01,rbf,0.9653554817275747,0.013842564074103792,2,0.27318880558013914
FID,9,1000,0.001,rbf,0.9640177187153931,0.016326488519817363,4,0.17610130310058594
FID,10,10,scale,rbf,0.9586932447397564,0.013010548188045328,6,0.14898922443389892
FID,10,10,0.01,rbf,0.9616910299003323,0.015076664328349488,3,0.18237972259521484
FID,10,10,0.001,rbf,0.9467009966777409,0.01653361270937232,9,0.2784029245376587
FID,10,100,scale,rbf,0.9610221483942414,0.011065877328807061,4,0.20786185264587403
FID,10,100,0.01,rbf,0.9620254706533776,0.011468979242703176,2,0.1497283935546875
FID,10,100,0.001,rbf,0.9543643410852711,0.014220274240597758,8,0.17874202728271485
FID,10,1000,scale,rbf,0.9573543743078627,0.011349757050079222,7,0.5923244714736938
FID,10,1000,0.01,rbf,0.962358803986711,0.009774618618315852,1,0.348299241065979
FID,10,1000,0.001,rbf,0.9603632336655592,0.01327540995716517,5,0.18861207962036133
