station,outer_fold,C,gamma,kernel,mean_inner_accuracy,std_inner_accuracy,rank_inner_accuracy,mean_fit_time_seconds
KLU,1,10,scale,rbf,0.9105805640233482,0.011505333152862226,5,0.8774730205535889
KLU,1,10,0.01,rbf,0.9037900017770972,0.010650496400986403,7,1.0110000610351562
KLU,1,10,0.001,rbf,0.8729402758601834,0.014036584558281353,9,1.4433653831481934
KLU,1,100,scale,rbf,0.9131935805776934,0.009711824328275371,1,1.6448939085006713
KLU,1,100,0.01,rbf,0.9113652208385167,0.01772179013223626,3,1.0242068290710449
KLU,1,100,0.001,rbf,0.8935990321654612,0.012118992758953772,8,1.5964550018310546
KLU,1,1000,scale,rbf,0.911105491230708,0.007087551965318872,4,8.872798800468445
KLU,1,1000,0.01,rbf,0.9129324839719493,0.012332736218636509,2,3.787950277328491
KLU,1,1000,0.001,rbf,0.9037900017770975,0.012591006237212966,6,2.027686429023743
KLU,2,10,scale,rbf,0.9103584268587754,0.014222494605959743,2,1.6781160831451416
KLU,2,10,0.01,rbf,0.9004271868549478,0.014561398894518409,7,1.4323792934417725
KLU,2,10,0.001,rbf,0.8740290897160744,0.016002492347985182,9,1.92643461227417
KLU,2,100,scale,rbf,0.9093154074337348,0.016053674802916966,3,2.4404083013534548
KLU,2,100,0.01,rbf,0.9077495112982378,0.014847403081265628,5,1.5535832405090333
KLU,2,100,0.001,rbf,0.8904932128552486,0.01775632559555563,8,1.422833466529846
KLU,2,1000,scale,rbf,0.9085287001216628,0.012962550916751858,4,8.828857731819152
KLU,2,1000,0.01,rbf,0.9129775949038315,0.015530089112068162,1,3.63481867313385
KLU,2,1000,0.001,rbf,0.9006889669596599,0.01588479652882114,6,1.8103119373321532
KLU,3,10,scale,rbf,0.9145284540620343,0.017483877680834477,2,1.1927294731140137
KLU,3,10,0.01,rbf,0.9027709048159336,0.01833551936307798,6,1.029378056526184
KLU,3,10,0.001,rbf,0.8745512829275629,0.023366771618841316,9,1.615458106994629
KLU,3,100,scale,rbf,0.9134861181359616,0.019508002248593653,3,1.7091041088104248
KLU,3,100,0.01,rbf,0.9111307806925211,0.019234105554267165,4,1.2318548679351806
KLU,3,100,0.001,rbf,0.8938908862247616,0.02268698623909916,8,1.3417300224304198
KLU,3,1000,scale,rbf,0.9080037729143028,0.018587822028266938,5,6.565027165412903
KLU,3,1000,0.01,rbf,0.9189725643514277,0.020235015700358353,1,2.532101774215698
KLU,3,1000,0.001,rbf,0.9022521290992851,0.021962868081875284,7,1.4187224864959718
KLU,4,10,scale,rbf,0.9111314641914892,0.014708588750771462,4,1.0012827396392823
KLU,4,10,0.01,rbf,0.9025132257050291,0.016753358759289735,7,1.0853504419326783
KLU,4,10,0.001,rbf,0.8748055445436277,0.019197100804471894,9,1.3754571437835694
KLU,4,100,scale,rbf,0.9113864093065219,0.01697474304939186,3,1.60376296043396
KLU,4,100,0.01,rbf,0.9108696840867768,0.016349939666232584,5,0.9259422063827515
KLU,4,100,0.001,rbf,0.8933666425163699,0.01843614993654802,8,1.4032205104827882
KLU,4,1000,scale,rbf,0.9116516069060735,0.01880514685266879,2,6.135038304328918
KLU,4,1000,0.01,rbf,0.9132168195426024,0.018184256563558834,1,2.4536503076553347
KLU,4,1000,0.001,rbf,0.9046054160458217,0.016995541741607598,6,1.31550133228302
KLU,5,10,scale,rbf,0.9121772176124013,0.008475336490799866,3,1.264191699028015
KLU,5,10,0.01,rbf,0.9030320014216778,0.008299597126113376,6,0.7612193822860718
KLU,5,10,0.001,rbf,0.8729682993178681,0.011766085335052304,9,1.4230749130249023
KLU,5,100,scale,rbf,0.9121779011113693,0.009939191116612272,2,1.7647695541381836
KLU,5,100,0.01,rbf,0.9108683170888412,0.010905725954771517,4,1.1521735906600952
KLU,5,100,0.001,rbf,0.8917945948901617,0.006602695160274997,8,0.8641700029373169
KLU,5,1000,scale,rbf,0.9108676335898733,0.014876478750601795,5,4.2418265581130985
KLU,5,1000,0.01,rbf,0.9124342132243382,0.008836584468003257,1,1.5514144897460938
KLU,5,1000,0.001,rbf,0.9017244678960535,0.00621619750559958,7,0.823591661453247
KLU,6,10,scale,rbf,0.9119113365138819,0.013213225709368039,3,0.5407922983169555
KLU,6,10,0.01,rbf,0.8996302270583572,0.01932828518472962,7,0.6533417701721191
KLU,6,10,0.001,rbf,0.872190477492379,0.013589701141157984,9,0.939421558380127
KLU,6,100,scale,rbf,0.9119120200128498,0.013366935006214976,2,1.0059353590011597
KLU,6,100,0.01,rbf,0.9079887359370087,0.017984176942719258,4,0.7852090358734131
KLU,6,100,0.001,rbf,0.8930987109209465,0.013398851183936222,8,0.7727516651153564
KLU,6,1000,scale,rbf,0.9069443495140321,0.017428568636316692,5,4.039185667037964
KLU,6,1000,0.01,rbf,0.9142625729635148,0.015136280387227282,1,1.3188292503356933
KLU,6,1000,0.001,rbf,0.8998933741610049,0.01721865189928223,6,0.7610197067260742
KLU,7,10,scale,rbf,0.9077262723333288,0.018967633249761556,5,0.5469783067703247
KLU,7,10,0.01,rbf,0.9022357251240549,0.0172555176007801,7,0.5308367729187011
KLU,7,10,0.001,rbf,0.8742717318496849,0.01359138541548919,9,0.802258825302124
KLU,7,100,scale,rbf,0.9113857258075541,0.01610100104445003,2,0.967428183555603
KLU,7,100,0.01,rbf,0.9111232622038742,0.017426699323974375,3,0.682633638381958
KLU,7,100,0.001,rbf,0.8933454540483645,0.016549874507960045,8,0.6614938497543335
KLU,7,1000,scale,rbf,0.9087740762511449,0.013357744487495184,4,3.4761793851852416
KLU,7,1000,0.01,rbf,0.9126905253373068,0.019581619047068656,1,1.1802547931671143
KLU,7,1000,0.001,rbf,0.9027592853334789,0.016123878699649787,6,0.6343790054321289
KLU,8,10,scale,rbf,0.9121861030989844,0.01917474854246177,3,0.46133420467376707
KLU,8,10,0.01,rbf,0.9035651306166528,0.02043676018331645,6,0.48308143615722654
KLU,8,10,0.001,rbf,0.8766400557735159,0.021083002258987862,9,0.6943362474441528
KLU,8,100,scale,rbf,0.9132366410126721,0.01935968398548492,2,0.7912849426269531
KLU,8,100,0.01,rbf,0.9114014462838161,0.018576311004633743,4,0.5279904127120971
KLU,8,100,0.001,rbf,0.8959830765655544,0.02402491367337979,8,0.603947377204895
KLU,8,1000,scale,rbf,0.9106222574603912,0.02046598969145994,5,3.446678137779236
KLU,8,1000,0.01,rbf,0.9140144628381611,0.018755903335949096,1,1.0781821966171266
KLU,8,1000,0.001,rbf,0.9030415704072287,0.01916782117028037,7,0.6493390798568726
KLU,9,10,scale,rbf,0.912968709417249,0.01073215348965437,3,0.43795137405395507
KLU,9,10,0.01,rbf,0.9043484204338853,0.012136534637720712,6,0.5130692481994629
KLU,9,10,0.001,rbf,0.876113078069252,0.0138570542447643,9,0.7385165929794312
KLU,9,100,scale,rbf,0.9150574822632018,0.010698712297372742,2,0.8275051116943359
KLU,9,100,0.01,rbf,0.9119250064932402,0.011464792321438141,5,0.5594188213348389
KLU,9,100,0.001,rbf,0.8944110289393464,0.012011134986583296,8,0.5830052375793457
KLU,9,1000,scale,rbf,0.9127069293125366,0.011541128615674055,4,3.350128984451294
KLU,9,1000,0.01,rbf,0.9161066531789537,0.013458662380060157,1,1.1670435428619386
KLU,9,1000,0.001,rbf,0.9038262272223969,0.014707800656576763,7,0.6429876327514649
KLU,10,10,scale,rbf,0.9119120200128498,0.01326023116456531,2,0.44746625423431396
KLU,10,10,0.01,rbf,0.8996274930624855,0.0188176728477815,7,0.4363961696624756
KLU,10,10,0.001,rbf,0.871403086681339,0.02302221270089062,9,0.6780400514602661
KLU,10,100,scale,rbf,0.909821196669993,0.011802049751071091,3,0.8894556045532227
KLU,10,100,0.01,rbf,0.9093003704564406,0.01566224886068016,4,0.5688206434249878
KLU,10,100,0.001,rbf,0.8923099531119709,0.018283507719038593,8,0.5314802408218384
KLU,10,1000,scale,rbf,0.9077372083168156,0.01301829721529198,5,2.9746597528457643
KLU,10,1000,0.01,rbf,0.9134806501442183,0.012859768179632924,1,1.0677322149276733
KLU,10,1000,0.001,rbf,0.9025043402184462,0.01821390501762635,6,0.6809545516967773
