station,outer_fold,C,gamma,kernel,mean_inner_accuracy,std_inner_accuracy,rank_inner_accuracy,mean_fit_time_seconds
KNK,1,10,scale,rbf,0.9780976662820562,0.0046994325453654515,3,0.17991220951080322
KNK,1,10,0.01,rbf,0.974861354077493,0.0065401759774826275,5,0.2699625253677368
KNK,1,10,0.001,rbf,0.958686616791355,0.0037152877334519383,9,0.4385551691055298
KNK,1,100,scale,rbf,0.975361968213794,0.006720093335669427,4,0.26891982555389404
KNK,1,100,0.01,rbf,0.9813314971278272,0.005922954058787528,1,0.20429396629333496
KNK,1,100,0.001,rbf,0.968139973449461,0.004976513721835542,8,0.26436877250671387
KNK,1,1000,scale,rbf,0.9736163323035696,0.005137941182483103,6,0.9304357767105103
KNK,1,1000,0.01,rbf,0.980587089490205,0.006565305165795089,2,0.4474056243896484
KNK,1,1000,0.001,rbf,0.9721219339710426,0.006766579437760014,7,0.2640570640563965
KNK,2,10,scale,rbf,0.9781038696790363,0.008230395862176032,3,0.1946035385131836
KNK,2,10,0.01,rbf,0.9763588541085099,0.006600874378428791,4,0.2825068473815918
KNK,2,10,0.001,rbf,0.9586903388295431,0.010319475633613307,9,0.46936917304992676
KNK,2,100,scale,rbf,0.9748687981538691,0.009971072854678588,6,0.33782639503479006
KNK,2,100,0.01,rbf,0.9798433021922806,0.006035328279971645,2,0.212906551361084
KNK,2,100,0.001,rbf,0.9681461768464411,0.006646153147081087,8,0.38668668270111084
KNK,2,1000,scale,rbf,0.970639942432476,0.008943371162432743,7,1.0268076181411743
KNK,2,1000,0.01,rbf,0.9800926787508841,0.007030856603662002,1,0.4555182695388794
KNK,2,1000,0.001,rbf,0.9751138323345865,0.007707264304143568,5,0.29752824306488035
KNK,3,10,scale,rbf,0.9778495304028487,0.006139783792167037,3,0.20816195011138916
KNK,3,10,0.01,rbf,0.9753588665153039,0.006046738924124581,4,0.24203031063079833
KNK,3,10,0.001,rbf,0.9581909653726381,0.007597127352440757,9,0.4276885032653809
KNK,3,100,scale,rbf,0.9733731591419461,0.008322192205952577,5,0.3063441276550293
KNK,3,100,0.01,rbf,0.9795902035954889,0.006080375583843032,1,0.2353818893432617
KNK,3,100,0.001,rbf,0.9671505316311213,0.008375729200203045,8,0.29014861583709717
KNK,3,1000,scale,rbf,0.972129378047419,0.009083699587069846,7,0.8416612863540649
KNK,3,1000,0.01,rbf,0.9785976600786592,0.006502049907270883,2,0.45040340423583985
KNK,3,1000,0.001,rbf,0.9728706839865511,0.0064424044552729,6,0.2650852918624878
KNK,4,10,scale,rbf,0.9795877222366969,0.006766094453933298,3,0.23479971885681153
KNK,4,10,0.01,rbf,0.9763551320703219,0.0074047641046721,5,0.25522732734680176
KNK,4,10,0.001,rbf,0.9606772868822968,0.00987466561681104,9,0.4287513256072998
KNK,4,100,scale,rbf,0.9768532648478307,0.004731001947858748,4,0.3217447757720947
KNK,4,100,0.01,rbf,0.9808339846900163,0.006960461422975328,2,0.2543028831481934
KNK,4,100,0.001,rbf,0.9688912048237615,0.007395598092660411,8,0.43465912342071533
KNK,4,1000,scale,rbf,0.9713781466731183,0.004349413440962094,7,0.8973111152648926
KNK,4,1000,0.01,rbf,0.9808346050297143,0.00432417552483215,1,0.4233371734619141
KNK,4,1000,0.001,rbf,0.974861354077493,0.007423796314612721,6,0.2336820363998413
KNK,5,10,scale,rbf,0.9785926973610749,0.007415119178023133,3,0.21010181903839112
KNK,5,10,0.01,rbf,0.9751094899567004,0.007723495408811063,5,0.24307961463928224
KNK,5,10,0.001,rbf,0.956690363643131,0.010595034916730741,9,0.41670277118682864
KNK,5,100,scale,rbf,0.9756082430739074,0.006084251785085944,4,0.30670909881591796
KNK,5,100,0.01,rbf,0.9808346050297143,0.007310949683183929,1,0.2274996042251587
KNK,5,100,0.001,rbf,0.9666474361360281,0.008134340746117472,8,0.3386868953704834
KNK,5,1000,scale,rbf,0.9733688167640601,0.00589796527472979,6,0.9498347282409668
KNK,5,1000,0.01,rbf,0.9793451694147717,0.007552771328808261,2,0.47686469554901123
KNK,5,1000,0.001,rbf,0.9733675760846641,0.0075610603821457,7,0.2669466495513916
KNK,6,10,scale,rbf,0.9788488976563567,0.004889678838960792,3,0.23450424671173095
KNK,6,10,0.01,rbf,0.975365069912284,0.004525855593112012,4,0.25505905151367186
KNK,6,10,0.001,rbf,0.9589446781057307,0.007485206962607836,9,0.5771486043930054
KNK,6,100,scale,rbf,0.9751169340330765,0.005892976900420026,5,0.38293406963348386
KNK,6,100,0.01,rbf,0.981087703626506,0.0057044531235470024,2,0.2455869197845459
KNK,6,100,0.001,rbf,0.9688955472016477,0.00765832833774649,8,0.3358426809310913
KNK,6,1000,scale,rbf,0.9701387079564769,0.009255120718896573,7,0.8246634483337403
KNK,6,1000,0.01,rbf,0.9815864567437129,0.004482603202346111,1,0.46859493255615237
KNK,6,1000,0.001,rbf,0.9736231560402476,0.004889721179775382,6,0.30179405212402344
KNK,7,10,scale,rbf,0.9778575948189229,0.007412888705095987,3,0.23488469123840333
KNK,7,10,0.01,rbf,0.9748731405317551,0.008857202409526999,5,0.2786224126815796
KNK,7,10,0.001,rbf,0.9589471594645229,0.010964309916342419,9,0.46483187675476073
KNK,7,100,scale,rbf,0.976863190282999,0.00832476554771909,4,0.314379620552063
KNK,7,100,0.01,rbf,0.9795995086909592,0.0062692637226837225,2,0.24532158374786378
KNK,7,100,0.001,rbf,0.9679036240245159,0.011528889703062812,8,0.4446574211120605
KNK,7,1000,scale,rbf,0.9701424299946652,0.009503197806012357,7,1.0933192014694213
KNK,7,1000,0.01,rbf,0.9803451570079776,0.005824711761014524,1,0.551835584640503
KNK,7,1000,0.001,rbf,0.9728812297614173,0.00835332548978793,6,0.30183045864105223
KNK,8,10,scale,rbf,0.9768594682448108,0.006773092029081004,3,0.2416628122329712
KNK,8,10,0.01,rbf,0.9756138261311895,0.008243123042249535,4,0.291931676864624
KNK,8,10,0.001,rbf,0.9604372154191635,0.008794680495324085,9,0.4743835210800171
KNK,8,100,scale,rbf,0.9743712857160581,0.0074684505611073764,5,0.3144081115722656
KNK,8,100,0.01,rbf,0.9805908115283929,0.006278829963861069,1,0.2535767793655396
KNK,8,100,0.001,rbf,0.9674042505676109,0.010164482888778536,8,0.35101165771484377
KNK,8,1000,scale,rbf,0.9731244029230407,0.008099542040179087,7,0.917132043838501
KNK,8,1000,0.01,rbf,0.9803432959888834,0.00662384835950495,2,0.4837294578552246
KNK,8,1000,0.001,rbf,0.9741212888177566,0.008044082450520094,6,0.2517086982727051
KNK,9,10,scale,rbf,0.9783501445391497,0.006409021809665474,3,0.21692306995391847
KNK,9,10,0.01,rbf,0.9768582275654148,0.007555902154562189,4,0.29082863330841063
KNK,9,10,0.001,rbf,0.9601853575017678,0.007970339586188417,9,0.45151658058166505
KNK,9,100,scale,rbf,0.9751169340330765,0.00890396144357501,5,0.33682310581207275
KNK,9,100,0.01,rbf,0.9795957866527711,0.0060775138328675446,1,0.22782442569732667
KNK,9,100,0.001,rbf,0.9688961675413458,0.00912932923050102,8,0.29282517433166505
KNK,9,1000,scale,rbf,0.9716318656096078,0.009266578678758816,7,0.9369508504867554
KNK,9,1000,0.01,rbf,0.9795951663130731,0.006280998137021784,2,0.5133622407913208
KNK,9,1000,0.001,rbf,0.9751163136933785,0.008406173807304131,6,0.31473255157470703
KNK,10,10,scale,rbf,0.9788526196945447,0.005694988721918456,3,0.25384273529052737
KNK,10,10,0.01,rbf,0.975866924727981,0.006193454302980206,5,0.30458056926727295
KNK,10,10,0.001,rbf,0.9587027456235034,0.01172280657619513,9,0.4473520278930664
KNK,10,100,scale,rbf,0.9776094589397154,0.007940754349821982,4,0.30154683589935305
KNK,10,100,0.01,rbf,0.9793495117926577,0.004588953807006445,2,0.26921045780181885
KNK,10,100,0.001,rbf,0.9679061053833079,0.008570158597414002,8,0.2804548740386963
KNK,10,1000,scale,rbf,0.9731281249612287,0.007769826310250465,7,0.8282595634460449
KNK,10,1000,0.01,rbf,0.9803445366682796,0.006805351123433788,1,0.6706619977951049
KNK,10,1000,0.001,rbf,0.97536941229017,0.00538047069530248,6,0.33002424240112305
