station,outer_fold,n_train,n_test,accuracy,balanced_accuracy,sensitivity_label_1,specificity_label_0,precision_label_1,f1_label_1,tn,fp,fn,tp,inner_best_accuracy,best_C,best_gamma,best_kernel,runtime_seconds
KNK,1,4018,447,0.9888143176733781,0.9886377335744425,0.9915611814345991,0.9857142857142858,0.9873949579831933,0.9894736842105263,207,3,2,235,0.9813314971278272,100,0.01,rbf,12.181189584000094
KNK,2,4018,447,0.9821029082774049,0.9825798673899939,0.9746835443037974,0.9904761904761905,0.9914163090128756,0.9829787234042553,208,2,6,231,0.9800926787508841,1000,0.01,rbf,13.98981933999994
KNK,3,4018,447,0.9776286353467561,0.9767329716696805,0.9915611814345991,0.9619047619047619,0.9670781893004116,0.9791666666666666,202,8,2,235,0.9795902035954889,100,0.01,rbf,12.284234334999951
KNK,4,4018,447,0.9776286353467561,0.9772754671488848,0.9831223628691983,0.9714285714285714,0.9748953974895398,0.9789915966386554,204,6,4,233,0.9808346050297143,1000,0.01,rbf,13.22945521600002
KNK,5,4018,447,0.9843400447427293,0.9838758288125377,0.9915611814345991,0.9761904761904762,0.9791666666666666,0.9853249475890985,205,5,2,235,0.9808346050297143,100,0.01,rbf,12.898898186999986
KNK,6,4019,446,0.9775784753363229,0.9769774011299435,0.9872881355932204,0.9666666666666667,0.9708333333333333,0.9789915966386554,203,7,3,233,0.9815864567437129,1000,0.01,rbf,13.837956885999915
KNK,7,4019,446,0.9798206278026906,0.9793583535108958,0.9872881355932204,0.9714285714285714,0.9748953974895398,0.9810526315789474,204,6,3,233,0.9803451570079776,1000,0.01,rbf,14.923167152000133
KNK,8,4019,446,0.984304932735426,0.9843825665859565,0.9830508474576272,0.9857142857142858,0.9872340425531915,0.9851380042462845,207,3,4,232,0.9805908115283929,100,0.01,rbf,13.390224811000053
KNK,9,4019,446,0.9753363228699552,0.974858757062147,0.9830508474576272,0.9666666666666667,0.9707112970711297,0.9768421052631578,203,7,4,232,0.9795957866527711,100,0.01,rbf,13.268922900000007
KNK,10,4019,446,0.9730941704035875,0.9737893462469733,0.961864406779661,0.9857142857142858,0.9869565217391304,0.9742489270386266,207,3,9,227,0.9803445366682796,1000,0.01,rbf,14.190232063999929
