station,outer_fold,C,gamma,kernel,mean_inner_accuracy,std_inner_accuracy,rank_inner_accuracy,mean_fit_time_seconds
M23K,1,10,scale,rbf,0.9330314422419687,0.025265599175807302,3,0.0882476806640625
M23K,1,10,0.01,rbf,0.9232513100934152,0.024197780965329645,6,0.0985910415649414
M23K,1,10,0.001,rbf,0.8908806106174527,0.02551508684553514,9,0.13361098766326904
M23K,1,100,scale,rbf,0.9337890179995443,0.021200652576543223,2,0.09405536651611328
M23K,1,100,0.01,rbf,0.9307587149692413,0.02449288125116828,4,0.09783680438995361
M23K,1,100,0.001,rbf,0.9187400318979266,0.023952290327410565,8,0.08910577297210694
M23K,1,1000,scale,rbf,0.9270107085896558,0.018440318272111494,5,0.31509273052215575
M23K,1,1000,0.01,rbf,0.9345408976987924,0.019318839964970736,1,0.20101559162139893
M23K,1,1000,0.001,rbf,0.9232456140350876,0.021757738703100632,7,0.09768595695495605
M23K,2,10,scale,rbf,0.9330143540669855,0.02273998893917593,2,0.07534654140472412
M23K,2,10,0.01,rbf,0.9209899749373432,0.030130548984346476,6,0.1218956470489502
M23K,2,10,0.001,rbf,0.8886363636363637,0.03274408694811126,9,0.14192285537719726
M23K,2,100,scale,rbf,0.9367623604465709,0.018044799927554398,1,0.22010128498077391
M23K,2,100,0.01,rbf,0.9322681704260651,0.022092930851475574,3,0.15317680835723876
M23K,2,100,0.001,rbf,0.9142287537024378,0.03138078210709326,8,0.14843957424163817
M23K,2,1000,scale,rbf,0.923228525860105,0.023346583182797486,5,0.5167736053466797
M23K,2,1000,0.01,rbf,0.931504898610162,0.019559989776352624,4,0.3869297027587891
M23K,2,1000,0.001,rbf,0.9202437912964229,0.027349644079092194,7,0.1159583330154419
M23K,3,10,scale,rbf,0.9315276828434722,0.01855339106407781,3,0.1773825168609619
M23K,3,10,0.01,rbf,0.9217361585782637,0.02501606099583631,5,0.20876739025115967
M23K,3,10,0.001,rbf,0.893164730006835,0.017014331220494994,9,0.21330389976501465
M23K,3,100,scale,rbf,0.9262588288904079,0.02556783122505357,4,0.19761061668395996
M23K,3,100,0.01,rbf,0.9337833219412166,0.023969690922950454,2,0.1452120304107666
M23K,3,100,0.001,rbf,0.9179881521986785,0.018837370414348752,8,0.19446063041687012
M23K,3,1000,scale,rbf,0.9202323991797675,0.021877242384742132,7,0.621082067489624
M23K,3,1000,0.01,rbf,0.9345408976987924,0.02305445815003586,1,0.3736436128616333
M23K,3,1000,0.001,rbf,0.9209899749373432,0.025892359637520394,6,0.21956272125244142
M23K,4,10,scale,rbf,0.9307701070858965,0.0146039693082796,2,0.21638240814208984
M23K,4,10,0.01,rbf,0.9187343358395988,0.016410897623815132,7,0.22000980377197266
M23K,4,10,0.001,rbf,0.8848997493734336,0.02597954719112378,9,0.2326604127883911
M23K,4,100,scale,rbf,0.9322795625427205,0.016473576778937734,1,0.2745163679122925
M23K,4,100,0.01,rbf,0.9269879243563455,0.018875362218538177,4,0.24028306007385253
M23K,4,100,0.001,rbf,0.91120984278879,0.015343468415746221,8,0.1704160213470459
