station,outer_fold,n_train,n_test,accuracy,balanced_accuracy,sensitivity_label_1,specificity_label_0,precision_label_1,f1_label_1,tn,fp,fn,tp,inner_best_accuracy,best_C,best_gamma,best_kernel,runtime_seconds
M23K,1,1329,148,0.9324324324324325,0.9337500000000001,0.9375,0.93,0.8653846153846154,0.9,93,7,3,45,0.9345408976987924,1000,0.01,rbf,5.369595036999954
M23K,2,1329,148,0.9391891891891891,0.927006530440278,0.8936170212765957,0.9603960396039604,0.9130434782608695,0.9032258064516129,97,4,5,42,0.9367623604465709,100,scale,rbf,5.576256908999994
M23K,3,1329,148,0.9391891891891891,0.9440699389087845,0.9574468085106383,0.9306930693069307,0.8653846153846154,0.9090909090909091,94,7,2,45,0.9345408976987924,1000,0.01,rbf,7.35335520700005
M23K,4,1329,148,0.9324324324324325,0.9391194438592796,0.9574468085106383,0.9207920792079208,0.8490566037735849,0.9,93,8,2,45,0.9322795625427205,100,scale,rbf,7.4137465339999835
M23K,5,1329,148,0.918918918918919,0.9178428481145987,0.9148936170212766,0.9207920792079208,0.8431372549019608,0.8775510204081632,93,8,4,43,0.9397755753018912,1000,0.01,rbf,5.005707742999903
M23K,6,1329,148,0.9459459459459459,0.943332631135454,0.9361702127659575,0.9504950495049505,0.8979591836734694,0.9166666666666666,96,5,3,44,0.9322624743677375,1000,0.01,rbf,3.0607077679999293
M23K,7,1329,148,0.8918918918918919,0.8809774594480725,0.851063829787234,0.9108910891089109,0.8163265306122449,0.8333333333333334,92,9,7,40,0.9390578719526088,10,scale,rbf,2.947597477000045
M23K,8,1330,147,0.9183673469387755,0.9118085106382978,0.8936170212765957,0.93,0.8571428571428571,0.875,93,7,5,42,0.9338345864661652,10,scale,rbf,3.0092814059999
M23K,9,1330,147,0.9591836734693877,0.9643617021276596,0.9787234042553191,0.95,0.9019607843137255,0.9387755102040817,95,5,1,46,0.930827067669173,1000,0.01,rbf,3.2841372440000214
M23K,10,1330,147,0.9319727891156463,0.9387234042553192,0.9574468085106383,0.92,0.8490566037735849,0.9,92,8,2,45,0.9315789473684211,1000,0.01,rbf,3.2028270779999275
