station,outer_fold,C,gamma,kernel,mean_inner_accuracy,std_inner_accuracy,rank_inner_accuracy,mean_fit_time_seconds
SAW,1,10,scale,rbf,0.9446272739376189,0.009891843340499269,3,0.5079578161239624
SAW,1,10,0.01,rbf,0.9340415874898633,0.009879214950834492,6,0.5602739810943603
SAW,1,10,0.001,rbf,0.9074635988429091,0.01290078154855431,9,0.951770567893982
SAW,1,100,scale,rbf,0.9392140012829667,0.010919422794913675,4,1.0181008100509643
SAW,1,100,0.01,rbf,0.9456112852664578,0.01008697807814169,2,0.729930329322815
SAW,1,100,0.001,rbf,0.9222286101596447,0.00836233519241704,8,0.7496684074401856
SAW,1,1000,scale,rbf,0.9333032764067246,0.009977882146172568,7,3.90187029838562
SAW,1,1000,0.01,rbf,0.946840391667978,0.007697585181553012,1,1.3090728998184205
SAW,1,1000,0.001,rbf,0.9372393217220804,0.006246021218934592,5,0.6789292335510254
SAW,2,10,scale,rbf,0.9438901732005179,0.012011069420573972,3,0.43823981285095215
SAW,2,10,0.01,rbf,0.9335477663063871,0.015934589661609613,6,0.49606804847717284
SAW,2,10,0.001,rbf,0.9096736907081734,0.014300326550372488,9,0.9027397632598877
SAW,2,100,scale,rbf,0.9384726643347333,0.009106732567257277,4,0.8649200201034546
SAW,2,100,0.01,rbf,0.9451204899480761,0.013626839101193488,2,0.6084643602371216
SAW,2,100,0.001,rbf,0.9227181951319883,0.014300970568656353,8,0.7530859470367431
SAW,2,1000,scale,rbf,0.9325637549775481,0.010143621254704537,7,3.6180278301239013
SAW,2,1000,0.01,rbf,0.9490583507824887,0.014280708220617246,1,1.2857059478759765
SAW,2,1000,0.001,rbf,0.936748526403699,0.011371996451625073,5,0.7580026149749756
SAW,3,10,scale,rbf,0.9416740296050641,0.011624038031315743,3,0.6608925104141236
SAW,3,10,0.01,rbf,0.9342878929085826,0.012859419493800364,6,0.5886033773422241
SAW,3,10,0.001,rbf,0.9101656963725929,0.012357911388178747,9,0.9829735040664673
SAW,3,100,scale,rbf,0.9372453734522701,0.014588083449953779,5,0.9701272487640381
SAW,3,100,0.01,rbf,0.9451192796020382,0.012904948242715358,1,0.5968669176101684
SAW,3,100,0.001,rbf,0.9217372096682441,0.013067779745659553,8,0.7457610845565796
SAW,3,1000,scale,rbf,0.9318266542404473,0.012969422419334006,7,3.9833572149276733
SAW,3,1000,0.01,rbf,0.9446266687646,0.010825241182693832,2,1.3961931943893433
SAW,3,1000,0.001,rbf,0.9374850219677807,0.01225352184333909,4,0.7406952857971192
SAW,4,10,scale,rbf,0.9392079495527772,0.009399518497931738,3,0.6048419713973999
SAW,4,10,0.01,rbf,0.9323120030016583,0.011829487589508546,7,0.8978380680084228
SAW,4,10,0.001,rbf,0.9069625155832052,0.01679730206874557,9,1.1612626791000367
SAW,4,100,scale,rbf,0.9389652751721718,0.008338658034570698,4,1.1546719551086426
