station,outer_fold,n_train,n_test,accuracy,balanced_accuracy,sensitivity_label_1,specificity_label_0,precision_label_1,f1_label_1,tn,fp,fn,tp,inner_best_accuracy,best_C,best_gamma,best_kernel,runtime_seconds
SAW,1,4063,452,0.9535398230088495,0.9522970297029703,0.964,0.9405940594059405,0.9525691699604744,0.9582504970178927,190,12,9,241,0.946840391667978,1000,0.01,rbf,28.878047182000046
SAW,2,4063,452,0.9469026548672567,0.9481980198019802,0.936,0.9603960396039604,0.9669421487603306,0.9512195121951219,194,8,16,234,0.9490583507824887,1000,0.01,rbf,27.201394988000175
SAW,3,4063,452,0.9424778761061947,0.9427722772277227,0.94,0.9455445544554455,0.9552845528455285,0.9475806451612904,191,11,15,235,0.9451192796020382,100,0.01,rbf,29.013994927999875
SAW,4,4063,452,0.9513274336283186,0.9498217821782178,0.964,0.9356435643564357,0.9488188976377953,0.9563492063492064,189,13,9,241,0.9458509337819683,1000,0.01,rbf,30.04553641299981
SAW,5,4063,452,0.9557522123893806,0.9533465346534653,0.976,0.9306930693069307,0.9457364341085271,0.9606299212598425,188,14,6,244,0.9461014754118203,1000,0.01,rbf,24.648183105000044
SAW,6,4064,451,0.9490022172949002,0.9496119402985075,0.944,0.9552238805970149,0.963265306122449,0.9535353535353536,192,9,14,236,0.9478407426683291,1000,0.01,rbf,24.64964172399982
SAW,7,4064,451,0.9578713968957872,0.9571752355958487,0.963855421686747,0.9504950495049505,0.96,0.9619238476953907,192,10,9,240,0.944391256460222,1000,0.01,rbf,25.26378689199987
SAW,8,4064,451,0.9334811529933481,0.9318163744085253,0.9477911646586346,0.9158415841584159,0.932806324110672,0.9402390438247012,185,17,13,236,0.9490547197443749,1000,0.01,rbf,25.82884173499997
SAW,9,4064,451,0.9290465631929047,0.9278003101514971,0.9397590361445783,0.9158415841584159,0.9322709163346613,0.936,185,17,15,234,0.9500496241875552,1000,0.01,rbf,29.38845383900002
SAW,10,4064,451,0.9556541019955654,0.9551672034673346,0.9598393574297188,0.9504950495049505,0.9598393574297188,0.9598393574297188,192,10,10,239,0.9463538325607292,1000,0.01,rbf,23.936517386000105
