station,outer_fold,C,gamma,kernel,mean_inner_accuracy,std_inner_accuracy,rank_inner_accuracy,mean_fit_time_seconds
SCM,1,10,scale,rbf,0.9494491383481595,0.00979215810168277,3,0.44087626934051516
SCM,1,10,0.01,rbf,0.9489510055706505,0.01237603095455255,5,0.409131383895874
SCM,1,10,0.001,rbf,0.933760747385268,0.012184354594633707,9,0.6689548969268799
SCM,1,100,scale,rbf,0.9484553541519336,0.01039169741722761,6,0.6212327241897583
SCM,1,100,0.01,rbf,0.9521873177752138,0.008847524889453059,1,0.42227559089660643
SCM,1,100,0.001,rbf,0.9444684309127679,0.009209654665419264,7,0.4485666513442993
SCM,1,1000,scale,rbf,0.9422265232441284,0.0098488858051747,8,2.5724928617477416
SCM,1,1000,0.01,rbf,0.9489516259103485,0.007587704713336346,4,0.9116371631622314
SCM,1,1000,0.001,rbf,0.949697894567065,0.0097129393003268,2,0.4157471418380737
SCM,2,10,scale,rbf,0.9507016041984591,0.010714659474747947,3,0.32151811122894286
SCM,2,10,0.01,rbf,0.9487090730884231,0.009177335264048543,6,0.3590104103088379
SCM,2,10,0.001,rbf,0.9330182007667398,0.013144216297974446,9,0.6131452798843384
SCM,2,100,scale,rbf,0.950204091760648,0.011396073097634404,4,0.550745677947998
SCM,2,100,0.01,rbf,0.9521935211721939,0.008154598455924988,1,0.39624781608581544
SCM,2,100,0.001,rbf,0.9447295939256339,0.011246927084627635,8,0.43113796710968016
SCM,2,1000,scale,rbf,0.9457227577821614,0.011212680179223658,7,2.2574669122695923
SCM,2,1000,0.01,rbf,0.9514472525154775,0.009771506882394193,2,0.850589919090271
SCM,2,1000,0.001,rbf,0.9494565824245356,0.010430727875800327,5,0.4410136938095093
SCM,3,10,scale,rbf,0.9504454039031774,0.012038525793232734,4,0.3489511251449585
SCM,3,10,0.01,rbf,0.9477078448158214,0.010983522165329966,6,0.3574376583099365
SCM,3,10,0.001,rbf,0.9347619756578702,0.01234546112596936,9,0.6250750064849854
SCM,3,100,scale,rbf,0.952189799134006,0.011632783444433185,1,0.555002236366272
SCM,3,100,0.01,rbf,0.9519398022357043,0.010229987785047634,2,0.356296706199646
SCM,3,100,0.001,rbf,0.9447215295095596,0.01090303660193613,7,0.4075227975845337
SCM,3,1000,scale,rbf,0.9439702981352589,0.014637681594305842,8,2.389799928665161
SCM,3,1000,0.01,rbf,0.9514422897978936,0.010886090079223153,3,0.7994730710983277
SCM,3,1000,0.001,rbf,0.9494491383481595,0.009926770534138776,5,0.4116060256958008
SCM,4,10,scale,rbf,0.9541866726219277,0.010897028393661827,2,0.3014709949493408
