station,outer_fold,n_train,n_test,accuracy,balanced_accuracy,sensitivity_label_1,specificity_label_0,precision_label_1,f1_label_1,tn,fp,fn,tp,inner_best_accuracy,best_C,best_gamma,best_kernel,runtime_seconds
SCM,1,4016,447,0.9574944071588367,0.9561849431130477,0.9711934156378601,0.9411764705882353,0.9516129032258065,0.9613034623217923,192,12,7,236,0.9521873177752138,100,0.01,rbf,18.94624167300003
SCM,2,4016,447,0.9463087248322147,0.9435366739288308,0.9753086419753086,0.9117647058823529,0.9294117647058824,0.9518072289156626,186,18,6,237,0.9521935211721939,100,0.01,rbf,17.18887649400017
SCM,3,4016,447,0.959731543624161,0.9570624546114742,0.9876543209876543,0.9264705882352942,0.9411764705882353,0.963855421686747,189,15,3,240,0.952189799134006,100,scale,rbf,17.28994271900001
SCM,4,4017,446,0.9394618834080718,0.9387682701858947,0.9465020576131687,0.9310344827586207,0.9426229508196722,0.944558521560575,189,14,13,230,0.9559310678527562,1000,0.01,rbf,16.471248596999885
SCM,5,4017,446,0.9596412556053812,0.9597194348152203,0.9588477366255144,0.9605911330049262,0.966804979253112,0.9628099173553719,195,8,10,233,0.9524472401086834,1000,0.01,rbf,17.34032184700004
SCM,6,4017,446,0.9573991031390134,0.9568951547561173,0.9628099173553719,0.9509803921568627,0.9588477366255144,0.9608247422680413,194,10,9,233,0.9527034404039652,10,scale,rbf,21.189165571999865
SCM,7,4017,446,0.9439461883408071,0.9418044077134986,0.9669421487603306,0.9166666666666666,0.9322709163346613,0.949290060851927,187,17,8,234,0.9531997121623803,100,scale,rbf,22.236984196000094
SCM,8,4017,446,0.9596412556053812,0.9593461351482742,0.9628099173553719,0.9558823529411765,0.9628099173553719,0.9628099173553719,195,9,9,233,0.9517015917916651,100,scale,rbf,21.844895637000036
SCM,9,4017,446,0.9484304932735426,0.9470912331874899,0.9628099173553719,0.9313725490196079,0.9433198380566802,0.9529652351738241,190,14,9,233,0.9536966042604931,100,0.01,rbf,23.161503365000044
SCM,10,4017,446,0.9461883408071748,0.9457948468643655,0.9504132231404959,0.9411764705882353,0.9504132231404959,0.9504132231404959,192,12,12,230,0.9541885336410217,100,scale,rbf,21.873255801999903
