feature,station,n_icequake,n_earthquake,median_icequake,median_earthquake,U_AUC_earthquake_greater,cliffs_delta_earthquake_minus_icequake,p_raw,p_holm_within_feature,significant_0.05
alpha_0,BAE,238,525,0.4523551904702225,0.4056487764277811,0.41838335334133653,-0.16323329331732694,0.00029955215022456404,0.0005991043004491281,True
alpha_0,BAT,155,400,0.4572366471377077,0.38902682150054574,0.3561774193548387,-0.2876451612903226,1.4319975337292067e-07,4.29599260118762e-07,True
alpha_0,FID,1851,1484,0.5927198470307923,0.5320634668375925,0.36579811888670943,-0.26840376222658113,1.3542963188224041e-40,9.480074231756829e-40,True
alpha_0,GLI,2151,2047,0.5796124793075151,0.4916327610394475,0.30133131293723486,-0.3973373741255303,5.0858423259060835e-110,4.068673860724867e-109,True
alpha_0,KLU,2121,2130,0.5030048231525424,0.3535318067280824,0.23749604336691216,-0.5250079132661757,4.455784309852755e-193,4.0102058788674795e-192,True
alpha_0,KNK,2365,2100,0.4780002134517577,0.4849258420684729,0.5188144568609685,0.037628913721936996,0.02974702376949143,0.02974702376949143,True
alpha_0,M23K,471,1006,0.2585241121781432,0.182253923335685,0.33898730757704304,-0.3220253848459139,1.7424876572409503e-23,8.712438286204752e-23,True
alpha_0,SAW,2496,2019,0.5408164931867656,0.5592974935238666,0.5683520576954827,0.13670411539096539,2.581726978510492e-15,1.0326907914041969e-14,True
alpha_0,SCM,2425,2038,0.5558933392125118,0.5094647661609508,0.4016361300243821,-0.19672773995123582,8.543130153840146e-30,5.125878092304088e-29,True
Delta_alpha,BAE,238,525,0.8595496725835206,1.087148957235276,0.704921968787515,0.40984393757503,1.1036710081414299e-19,2.2073420162828597e-19,True
Delta_alpha,BAT,155,400,0.8637203625701826,1.0174059258717345,0.6631774193548388,0.3263548387096775,2.3855982585873912e-09,2.3855982585873912e-09,True
Delta_alpha,FID,1851,1484,1.1840262332821987,1.0452123314451034,0.31571591665319687,-0.36856816669360626,5.911193303795571e-75,2.3644773215182285e-74,True
Delta_alpha,GLI,2151,2047,1.212860774748561,0.9635938620071608,0.28979556889162333,-0.42040886221675333,6.223638082440211e-123,4.3565466577081483e-122,True
Delta_alpha,KLU,2121,2130,1.0135249446656156,0.8890158823341945,0.35918149158980284,-0.2816370168203943,6.274761886149937e-57,1.8824285658449809e-56,True
Delta_alpha,KNK,2365,2100,0.8940882505106411,1.1662617996125235,0.736139534883721,0.47227906976744194,7.571399929830649e-164,6.814259936847584e-163,True
Delta_alpha,M23K,471,1006,0.2948284364009771,0.6611910820181534,0.8834825442250953,0.7669650884501906,4.742232649642589e-125,3.7937861197140715e-124,True
Delta_alpha,SAW,2496,2019,0.9409281724997045,1.0951299623347892,0.6915691158354605,0.3831382316709211,6.970559454567738e-109,4.182335672740643e-108,True
Delta_alpha,SCM,2425,2038,1.048311277458575,1.2184849508340059,0.6648887629877684,0.3297775259755369,1.5379971876214996e-80,7.689985938107499e-80,True
